EEG1,EEG2,Acc_X,Acc_Y,Acc_Z
825.7801513671875,814.2652587890625,-441.4069519042969,824.2200317382812,464.844482421875
794.5255126953125,807.6853637695312,-406.2506408691406,820.3137817382812,476.563232421875
838.9400024414062,855.3897705078125,-402.3443908691406,832.0325317382812,476.563232421875
834.0050048828125,843.8749389648438,-402.3443908691406,816.4075317382812,472.656982421875
840.5849609375,853.7448120117188,-421.8756713867188,812.5012817382812,472.656982421875
840.5849609375,853.7448120117188,-429.6881713867188,832.0325317382812,468.750732421875
830.715087890625,845.5198974609375,-429.6881713867188,832.0325317382812,468.750732421875
807.6853637695312,843.8749389648438,-437.5006713867188,851.5638427734375,468.750732421875
807.6853637695312,843.8749389648438,-402.3443908691406,851.5638427734375,496.0945129394531
835.6500244140625,858.6797485351562,-390.6256103515625,875.0013427734375,492.1882629394531
814.2652587890625,858.6797485351562,-390.6256103515625,875.0013427734375,492.1882629394531
824.1351318359375,863.6146850585938,-425.7819213867188,789.063720703125,476.563232421875
827.4251098632812,870.194580078125,-425.7819213867188,789.063720703125,476.563232421875
829.070068359375,863.6146850585938,-445.3132019042969,761.719970703125,437.5006713867188
807.6853637695312,838.9400024414062,-445.3132019042969,761.719970703125,437.5006713867188
801.1054077148438,817.5552368164062,-398.4381103515625,628.9072265625,375.0005798339844
764.9158325195312,796.1704711914062,-292.9692077636719,761.719970703125,332.0317687988281
753.4010009765625,784.6556396484375,-250.0003967285156,781.251220703125,328.1255187988281
778.07568359375,789.590576171875,-250.0003967285156,781.251220703125,328.1255187988281
909.6741333007812,891.579345703125,-35.15630340576172,675.7822875976562,527.3446044921875
917.8990478515624,824.1351318359375,-35.15630340576172,675.7822875976562,527.3446044921875
935.9938354492188,773.1407470703125,31.25004959106445,628.9072265625,699.2198486328125
929.4138793945312,766.5608520507812,-335.9380187988281,949.22021484375,93.7501449584961
916.2540283203124,783.0106201171875,-335.9380187988281,949.22021484375,93.7501449584961
916.2540283203124,783.0106201171875,-367.1880798339844,906.2514038085938,27.343791961669922
916.2540283203124,783.0106201171875,-359.37554931640625,894.5326538085938,19.531280517578125
896.5142822265625,787.945556640625,-359.37554931640625,894.5326538085938,19.531280517578125
894.8693237304688,773.1407470703125,-328.1255187988281,953.12646484375,7.812512397766112
894.8693237304688,794.5255126953125,-328.1255187988281,953.12646484375,7.812512397766112
899.8042602539062,807.6853637695312,-257.81289672851557,972.6577758789062,11.718768119812012
884.9994506835938,819.2001953125,-257.81289672851557,972.6577758789062,11.718768119812012
884.9994506835938,819.2001953125,-289.0629577636719,964.8452758789062,19.531280517578125
893.2243041992188,814.2652587890625,-289.0629577636719,964.8452758789062,19.531280517578125
884.9994506835938,801.1054077148438,-289.0629577636719,964.8452758789062,19.531280517578125
878.4194946289062,791.2355346679688,-285.1567077636719,984.3765258789062,35.15630340576172
880.064453125,796.1704711914062,-285.1567077636719,984.3765258789062,35.15630340576172
871.839599609375,815.9102783203125,-304.68798828125,972.6577758789062,50.78133010864258
878.4194946289062,809.330322265625,-304.68798828125,972.6577758789062,50.78133010864258
876.7745361328125,806.0403442382812,-300.7817077636719,992.1890258789062,66.40635681152344
886.6444091796875,809.330322265625,-312.50048828125,976.5640258789062,89.84388732910156
875.1295166015625,801.1054077148438,-312.50048828125,976.5640258789062,89.84388732910156
888.2893676757812,815.9102783203125,-300.7817077636719,972.6577758789062,101.56266021728516
876.7745361328125,812.6203002929688,-316.40673828125,968.7515258789062,101.56266021728516
878.4194946289062,829.070068359375,-316.40673828125,968.7515258789062,101.56266021728516
878.4194946289062,829.070068359375,-304.68798828125,964.8452758789062,132.81271362304688
878.4194946289062,829.070068359375,-300.7817077636719,980.4702758789062,140.62521362304688
860.32470703125,827.4251098632812,-296.8754577636719,988.2827758789062,148.43772888183594
860.32470703125,827.4251098632812,-292.9692077636719,972.6577758789062,164.06275939941406
866.9046630859375,825.7801513671875,-292.9692077636719,972.6577758789062,164.06275939941406
860.32470703125,809.330322265625,-292.9692077636719,984.3765258789062,175.78152465820312
860.32470703125,809.330322265625,-285.1567077636719,968.7515258789062,179.68777465820312
873.4845581054688,812.6203002929688,-285.1567077636719,968.7515258789062,179.68777465820312
880.064453125,812.6203002929688,-285.1567077636719,968.7515258789062,179.68777465820312
880.064453125,827.4251098632812,-292.9692077636719,972.6577758789062,183.5940399169922
878.4194946289062,835.6500244140625,-289.0629577636719,972.6577758789062,195.31280517578125
876.7745361328125,838.9400024414062,-269.5316772460937,972.6577758789062,203.1253204345703
866.9046630859375,840.5849609375,-289.0629577636719,972.6577758789062,210.93783569335938
866.9046630859375,840.5849609375,-289.0629577636719,980.4702758789062,214.84408569335938
871.839599609375,858.6797485351562,-289.0629577636719,980.4702758789062,214.84408569335938
868.5496215820312,850.454833984375,-277.3441772460937,964.8452758789062,226.56285095214844
876.7745361328125,842.2299194335938,-277.3441772460937,964.8452758789062,226.56285095214844
866.9046630859375,852.0997924804688,-277.3441772460937,964.8452758789062,226.56285095214844
873.4845581054688,853.7448120117188,-265.6254272460937,957.0327758789062,210.93783569335938
861.9697265625,858.6797485351562,-292.9692077636719,980.4702758789062,214.84408569335938
861.9697265625,861.9697265625,-285.1567077636719,968.7515258789062,222.65660095214844
863.6146850585938,855.3897705078125,-292.9692077636719,953.12646484375,210.93783569335938
852.0997924804688,847.1648559570312,-292.9692077636719,953.12646484375,210.93783569335938
845.5198974609375,843.8749389648438,-292.9692077636719,953.12646484375,210.93783569335938
850.454833984375,842.2299194335938,-265.6254272460937,968.7515258789062,218.75033569335938
852.0997924804688,843.8749389648438,-265.6254272460937,968.7515258789062,218.75033569335938
855.3897705078125,840.5849609375,-289.0629577636719,976.5640258789062,222.65660095214844
848.8098754882812,845.5198974609375,-292.9692077636719,988.2827758789062,234.3753662109375
857.0347290039062,852.0997924804688,-285.1567077636719,980.4702758789062,246.09413146972656
