epoch,acc,loss,val_acc,val_loss
0,0.7007537231142529,0.8171499596868911,0.0,1.97964428154598
1,0.7081862770641806,0.8041481596898568,0.0,2.057548504593969
2,0.7081862804193263,0.7991001142863345,0.0,2.089149153025062
3,0.7081862768110294,0.7836556402078234,0.0,5.851493542228738
4,0.7082311420618379,0.8035745412858257,0.0,1.6753491905379212
5,0.7081563679690052,0.7768278020331183,0.0,2.342597320831841
6,0.7088143789376726,0.7858091182612329,0.0,5.654348345438088
7,0.7090536575572103,0.7915058470359935,0.0,3.451853023930558
8,0.70860501262227,0.7808675511663322,0.0,6.494178146845902
9,0.7083208707200859,0.7745177611577608,0.0,2.0891076733408958
10,0.7081862765329195,0.7761210928716578,0.0,3.6017448494520927
