,precision,recall,f1-score,support
0,0.566499162479062,1.0,0.7232677502138579,11837.0
1,0.0,0.0,0.0,2728.0
2,0.0,0.0,0.0,6330.0
avg / total,0.32092130108947864,0.566499162479062,0.40973057474426594,20895.0
