EEG1,EEG2,Acc_X,Acc_Y,Acc_Z
866.9046630859375,799.46044921875,-113.28142547607422,968.7515258789062,289.0629577636719
866.9046630859375,796.1704711914062,-199.21905517578125,988.2827758789062,261.71914672851557
866.9046630859375,796.1704711914062,-207.0315704345703,964.8452758789062,265.6254272460937
850.454833984375,796.1704711914062,-207.0315704345703,964.8452758789062,265.6254272460937
853.7448120117188,792.8805541992188,-214.84408569335938,960.9390258789062,253.9066467285156
847.1648559570312,792.8805541992188,-183.5940399169922,976.5640258789062,250.0003967285156
853.7448120117188,801.1054077148438,-144.53147888183594,960.9390258789062,246.09413146972656
855.3897705078125,801.1054077148438,-152.343994140625,980.4702758789062,238.2816162109375
861.9697265625,806.0403442382812,-93.7501449584961,972.6577758789062,292.9692077636719
861.9697265625,806.0403442382812,-93.7501449584961,996.0953369140624,308.59423828125
852.0997924804688,806.0403442382812,-156.250244140625,988.2827758789062,265.6254272460937
852.0997924804688,806.0403442382812,-136.71896362304688,1019.5328369140624,277.3441772460937
852.0997924804688,807.6853637695312,-101.56266021728516,1011.7203369140624,300.7817077636719
845.5198974609375,806.0403442382812,-167.96900939941406,976.5640258789062,308.59423828125
858.6797485351562,809.330322265625,-171.87527465820312,984.3765258789062,300.7817077636719
858.6797485351562,809.330322265625,-175.78152465820312,1000.0015869140624,292.9692077636719
855.3897705078125,817.5552368164062,-183.5940399169922,992.1890258789062,289.0629577636719
860.32470703125,814.2652587890625,-179.68777465820312,976.5640258789062,281.2504272460937
860.32470703125,814.2652587890625,-175.78152465820312,972.6577758789062,281.2504272460937
868.5496215820312,820.84521484375,-183.5940399169922,984.3765258789062,234.3753662109375
868.5496215820312,820.84521484375,-187.5002899169922,988.2827758789062,222.65660095214844
865.2596435546875,815.9102783203125,-187.5002899169922,988.2827758789062,222.65660095214844
866.9046630859375,817.5552368164062,-179.68777465820312,984.3765258789062,199.21905517578125
843.8749389648438,819.2001953125,-191.40655517578125,980.4702758789062,156.250244140625
853.7448120117188,820.84521484375,-187.5002899169922,980.4702758789062,148.43772888183594
853.7448120117188,820.84521484375,-191.40655517578125,984.3765258789062,148.43772888183594
853.7448120117188,824.1351318359375,-195.31280517578125,992.1890258789062,140.62521362304688
852.0997924804688,827.4251098632812,-191.40655517578125,996.0953369140624,140.62521362304688
852.0997924804688,827.4251098632812,-199.21905517578125,992.1890258789062,136.71896362304688
853.7448120117188,819.2001953125,-199.21905517578125,992.1890258789062,140.62521362304688
834.0050048828125,829.070068359375,-203.1253204345703,1000.0015869140624,140.62521362304688
834.0050048828125,829.070068359375,-207.0315704345703,1000.0015869140624,140.62521362304688
845.5198974609375,822.4901733398438,-207.0315704345703,988.2827758789062,148.43772888183594
847.1648559570312,817.5552368164062,-210.93783569335938,1000.0015869140624,160.156494140625
847.1648559570312,817.5552368164062,-203.1253204345703,1003.9078369140624,164.06275939941406
852.0997924804688,822.4901733398438,-203.1253204345703,1003.9078369140624,164.06275939941406
855.3897705078125,817.5552368164062,-207.0315704345703,988.2827758789062,160.156494140625
855.3897705078125,819.2001953125,-207.0315704345703,1000.0015869140624,156.250244140625
852.0997924804688,807.6853637695312,-203.1253204345703,1000.0015869140624,164.06275939941406
853.7448120117188,807.6853637695312,-199.21905517578125,1003.9078369140624,156.250244140625
853.7448120117188,807.6853637695312,-199.21905517578125,1003.9078369140624,152.343994140625
857.0347290039062,807.6853637695312,-203.1253204345703,996.0953369140624,152.343994140625
866.9046630859375,797.8154907226562,-203.1253204345703,992.1890258789062,152.343994140625
866.9046630859375,797.8154907226562,-203.1253204345703,1000.0015869140624,148.43772888183594
855.3897705078125,807.6853637695312,-195.31280517578125,996.0953369140624,152.343994140625
855.3897705078125,807.6853637695312,-191.40655517578125,996.0953369140624,152.343994140625
855.3897705078125,807.6853637695312,-187.5002899169922,996.0953369140624,152.343994140625
861.9697265625,809.330322265625,-187.5002899169922,996.0953369140624,152.343994140625
861.9697265625,806.0403442382812,-195.31280517578125,988.2827758789062,148.43772888183594
861.9697265625,806.0403442382812,-191.40655517578125,996.0953369140624,152.343994140625
857.0347290039062,810.9752807617188,-191.40655517578125,1003.9078369140624,152.343994140625
852.0997924804688,814.2652587890625,-191.40655517578125,992.1890258789062,160.156494140625
853.7448120117188,814.2652587890625,-195.31280517578125,1000.0015869140624,160.156494140625
834.0050048828125,825.7801513671875,-195.31280517578125,996.0953369140624,164.06275939941406
834.0050048828125,825.7801513671875,-191.40655517578125,996.0953369140624,164.06275939941406
850.454833984375,824.1351318359375,-187.5002899169922,996.0953369140624,167.96900939941406
850.454833984375,824.1351318359375,-187.5002899169922,1000.0015869140624,164.06275939941406
850.454833984375,824.1351318359375,-187.5002899169922,1000.0015869140624,167.96900939941406
852.0997924804688,820.84521484375,-187.5002899169922,1000.0015869140624,167.96900939941406
857.0347290039062,822.4901733398438,-187.5002899169922,992.1890258789062,167.96900939941406
857.0347290039062,812.6203002929688,-187.5002899169922,1000.0015869140624,164.06275939941406
858.6797485351562,815.9102783203125,-175.78152465820312,1003.9078369140624,167.96900939941406
843.8749389648438,810.9752807617188,-171.87527465820312,1000.0015869140624,167.96900939941406
843.8749389648438,810.9752807617188,-167.96900939941406,996.0953369140624,171.87527465820312
853.7448120117188,817.5552368164062,-175.78152465820312,996.0953369140624,167.96900939941406
848.8098754882812,815.9102783203125,-183.5940399169922,996.0953369140624,167.96900939941406
848.8098754882812,815.9102783203125,-183.5940399169922,1000.0015869140624,171.87527465820312
853.7448120117188,817.5552368164062,-179.68777465820312,996.0953369140624,171.87527465820312
853.7448120117188,817.5552368164062,-175.78152465820312,996.0953369140624,175.78152465820312
853.7448120117188,817.5552368164062,-171.87527465820312,1000.0015869140624,179.68777465820312
853.7448120117188,817.5552368164062,-167.96900939941406,1000.0015869140624,179.68777465820312
847.1648559570312,822.4901733398438,-167.96900939941406,1000.0015869140624,179.68777465820312
847.1648559570312,822.4901733398438,-175.78152465820312,1000.0015869140624,179.68777465820312
848.8098754882812,819.2001953125,-175.78152465820312,992.1890258789062,179.68777465820312
855.3897705078125,819.2001953125,-175.78152465820312,1000.0015869140624,179.68777465820312
855.3897705078125,819.2001953125,-171.87527465820312,996.0953369140624,183.5940399169922
857.0347290039062,819.2001953125,-175.78152465820312,996.0953369140624,179.68777465820312
857.0347290039062,812.6203002929688,-171.87527465820312,1003.9078369140624,183.5940399169922
857.0347290039062,815.9102783203125,-167.96900939941406,996.0953369140624,187.5002899169922
852.0997924804688,810.9752807617188,-171.87527465820312,996.0953369140624,191.40655517578125
855.3897705078125,809.330322265625,-171.87527465820312,996.0953369140624,191.40655517578125
855.3897705078125,809.330322265625,-167.96900939941406,996.0953369140624,195.31280517578125
