EEG1,EEG2,Acc_X,Acc_Y,Acc_Z
866.9046630859375,891.579345703125,-351.56304931640625,941.40771484375,277.3441772460937
865.2596435546875,893.2243041992188,-355.46929931640625,921.87646484375,265.6254272460937
865.2596435546875,894.8693237304688,-355.46929931640625,921.87646484375,265.6254272460937
863.6146850585938,896.5142822265625,-351.56304931640625,937.50146484375,269.5316772460937
861.9697265625,891.579345703125,-347.65679931640625,929.68896484375,269.5316772460937
863.6146850585938,908.0291748046876,-351.56304931640625,941.40771484375,261.71914672851557
857.0347290039062,894.8693237304688,-335.9380187988281,929.68896484375,273.4379272460937
863.6146850585938,912.964111328125,-343.75054931640625,933.59521484375,265.6254272460937
863.6146850585938,912.964111328125,-343.75054931640625,929.68896484375,265.6254272460937
861.9697265625,911.319091796875,-343.75054931640625,929.68896484375,265.6254272460937
860.32470703125,903.09423828125,-351.56304931640625,933.59521484375,261.71914672851557
858.6797485351562,909.6741333007812,-332.0317687988281,941.40771484375,269.5316772460937
865.2596435546875,904.7391967773438,-335.9380187988281,937.50146484375,269.5316772460937
866.9046630859375,919.5440063476562,-343.75054931640625,941.40771484375,265.6254272460937
866.9046630859375,919.5440063476562,-339.8442687988281,933.59521484375,261.71914672851557
865.2596435546875,914.6090698242188,-343.75054931640625,937.50146484375,261.71914672851557
863.6146850585938,912.964111328125,-339.8442687988281,933.59521484375,265.6254272460937
865.2596435546875,914.6090698242188,-339.8442687988281,933.59521484375,265.6254272460937
863.6146850585938,904.7391967773438,-347.65679931640625,937.50146484375,265.6254272460937
866.9046630859375,912.964111328125,-339.8442687988281,937.50146484375,265.6254272460937
866.9046630859375,912.964111328125,-339.8442687988281,937.50146484375,261.71914672851557
866.9046630859375,917.8990478515624,-347.65679931640625,941.40771484375,257.81289672851557
866.9046630859375,917.8990478515624,-335.9380187988281,929.68896484375,261.71914672851557
866.9046630859375,917.8990478515624,-335.9380187988281,941.40771484375,261.71914672851557
866.9046630859375,917.8990478515624,-339.8442687988281,945.31396484375,261.71914672851557
863.6146850585938,917.8990478515624,-335.9380187988281,937.50146484375,261.71914672851557
857.0347290039062,884.9994506835938,-343.75054931640625,933.59521484375,273.4379272460937
857.0347290039062,884.9994506835938,-347.65679931640625,933.59521484375,265.6254272460937
857.0347290039062,884.9994506835938,-351.56304931640625,933.59521484375,265.6254272460937
853.7448120117188,884.9994506835938,-347.65679931640625,933.59521484375,265.6254272460937
853.7448120117188,884.9994506835938,-343.75054931640625,937.50146484375,265.6254272460937
857.0347290039062,891.579345703125,-343.75054931640625,937.50146484375,265.6254272460937
855.3897705078125,889.9343872070312,-343.75054931640625,937.50146484375,265.6254272460937
855.3897705078125,889.9343872070312,-343.75054931640625,933.59521484375,265.6254272460937
848.8098754882812,888.2893676757812,-343.75054931640625,937.50146484375,265.6254272460937
848.8098754882812,886.6444091796875,-339.8442687988281,929.68896484375,269.5316772460937
840.5849609375,870.194580078125,-339.8442687988281,937.50146484375,269.5316772460937
840.5849609375,870.194580078125,-339.8442687988281,933.59521484375,269.5316772460937
848.8098754882812,870.194580078125,-339.8442687988281,929.68896484375,265.6254272460937
848.8098754882812,870.194580078125,-339.8442687988281,933.59521484375,265.6254272460937
852.0997924804688,878.4194946289062,-339.8442687988281,933.59521484375,265.6254272460937
850.454833984375,884.9994506835938,-335.9380187988281,937.50146484375,273.4379272460937
850.454833984375,884.9994506835938,-339.8442687988281,941.40771484375,269.5316772460937
855.3897705078125,868.5496215820312,-339.8442687988281,941.40771484375,269.5316772460937
852.0997924804688,848.8098754882812,-335.9380187988281,933.59521484375,273.4379272460937
853.7448120117188,855.3897705078125,-343.75054931640625,945.31396484375,265.6254272460937
853.7448120117188,855.3897705078125,-339.8442687988281,933.59521484375,269.5316772460937
850.454833984375,884.9994506835938,-339.8442687988281,933.59521484375,269.5316772460937
850.454833984375,884.9994506835938,-339.8442687988281,937.50146484375,269.5316772460937
845.5198974609375,881.70947265625,-343.75054931640625,941.40771484375,269.5316772460937
850.454833984375,889.9343872070312,-343.75054931640625,937.50146484375,269.5316772460937
857.0347290039062,916.2540283203124,-343.75054931640625,933.59521484375,273.4379272460937
852.0997924804688,908.0291748046876,-347.65679931640625,933.59521484375,273.4379272460937
852.0997924804688,908.0291748046876,-347.65679931640625,937.50146484375,269.5316772460937
853.7448120117188,906.3841552734376,-343.75054931640625,933.59521484375,269.5316772460937
853.7448120117188,906.3841552734376,-339.8442687988281,933.59521484375,269.5316772460937
855.3897705078125,911.319091796875,-339.8442687988281,933.59521484375,269.5316772460937
861.9697265625,919.5440063476562,-335.9380187988281,933.59521484375,273.4379272460937
860.32470703125,838.9400024414062,-335.9380187988281,937.50146484375,269.5316772460937
865.2596435546875,884.9994506835938,-351.56304931640625,937.50146484375,261.71914672851557
865.2596435546875,884.9994506835938,-339.8442687988281,929.68896484375,265.6254272460937
865.2596435546875,884.9994506835938,-335.9380187988281,937.50146484375,273.4379272460937
858.6797485351562,906.3841552734376,-339.8442687988281,949.22021484375,269.5316772460937
858.6797485351562,906.3841552734376,-335.9380187988281,933.59521484375,273.4379272460937
852.0997924804688,921.18896484375,-347.65679931640625,937.50146484375,265.6254272460937
852.0997924804688,921.18896484375,-339.8442687988281,929.68896484375,269.5316772460937
852.0997924804688,921.18896484375,-335.9380187988281,937.50146484375,273.4379272460937
863.6146850585938,919.5440063476562,-347.65679931640625,937.50146484375,269.5316772460937
853.7448120117188,909.6741333007812,-347.65679931640625,933.59521484375,261.71914672851557
853.7448120117188,909.6741333007812,-351.56304931640625,937.50146484375,261.71914672851557
853.7448120117188,909.6741333007812,-347.65679931640625,937.50146484375,261.71914672851557
850.454833984375,924.4789428710938,-347.65679931640625,937.50146484375,261.71914672851557
850.454833984375,904.7391967773438,-343.75054931640625,937.50146484375,261.71914672851557
852.0997924804688,914.6090698242188,-355.46929931640625,925.78271484375,257.81289672851557
850.454833984375,922.833984375,-351.56304931640625,941.40771484375,257.81289672851557
850.454833984375,922.833984375,-351.56304931640625,937.50146484375,253.9066467285156
850.454833984375,922.833984375,-347.65679931640625,925.78271484375,253.9066467285156
855.3897705078125,908.0291748046876,-347.65679931640625,925.78271484375,253.9066467285156
855.3897705078125,917.8990478515624,-351.56304931640625,929.68896484375,265.6254272460937
857.0347290039062,912.964111328125,-359.37554931640625,941.40771484375,257.81289672851557
