EEG1,EEG2,Acc_X,Acc_Y,Acc_Z
866.9046630859375,842.2299194335938,-531.2508544921875,859.3763427734375,238.2816162109375
845.5198974609375,822.4901733398438,-519.5320434570311,855.4700927734375,246.09413146972656
860.32470703125,835.6500244140625,-519.5320434570311,855.4700927734375,246.09413146972656
860.32470703125,835.6500244140625,-542.9696044921875,851.5638427734375,238.2816162109375
835.6500244140625,837.2949829101562,-535.1571044921875,859.3763427734375,238.2816162109375
852.0997924804688,838.9400024414062,-507.81329345703125,855.4700927734375,242.18788146972656
852.0997924804688,838.9400024414062,-519.5320434570311,859.3763427734375,242.18788146972656
853.7448120117188,842.2299194335938,-519.5320434570311,859.3763427734375,242.18788146972656
825.7801513671875,840.5849609375,-519.5320434570311,859.3763427734375,242.18788146972656
825.7801513671875,840.5849609375,-542.9696044921875,863.2825927734375,234.3753662109375
850.454833984375,842.2299194335938,-546.8758544921875,859.3763427734375,226.56285095214844
814.2652587890625,848.8098754882812,-523.4382934570311,863.2825927734375,238.2816162109375
848.8098754882812,843.8749389648438,-527.3446044921875,847.6575927734375,242.18788146972656
834.0050048828125,843.8749389648438,-523.4382934570311,859.3763427734375,242.18788146972656
822.4901733398438,845.5198974609375,-523.4382934570311,863.2825927734375,242.18788146972656
850.454833984375,845.5198974609375,-523.4382934570311,863.2825927734375,242.18788146972656
852.0997924804688,847.1648559570312,-523.4382934570311,863.2825927734375,246.09413146972656
834.0050048828125,848.8098754882812,-523.4382934570311,851.5638427734375,250.0003967285156
834.0050048828125,848.8098754882812,-519.5320434570311,851.5638427734375,253.9066467285156
860.32470703125,847.1648559570312,-523.4382934570311,851.5638427734375,253.9066467285156
857.0347290039062,848.8098754882812,-527.3446044921875,855.4700927734375,253.9066467285156
857.0347290039062,848.8098754882812,-527.3446044921875,863.2825927734375,253.9066467285156
830.715087890625,840.5849609375,-527.3446044921875,859.3763427734375,253.9066467285156
850.454833984375,845.5198974609375,-527.3446044921875,855.4700927734375,257.81289672851557
853.7448120117188,845.5198974609375,-527.3446044921875,855.4700927734375,257.81289672851557
827.4251098632812,842.2299194335938,-515.6257934570311,847.6575927734375,261.71914672851557
845.5198974609375,847.1648559570312,-519.5320434570311,843.7513427734375,261.71914672851557
843.8749389648438,843.8749389648438,-527.3446044921875,847.6575927734375,269.5316772460937
855.3897705078125,842.2299194335938,-527.3446044921875,847.6575927734375,269.5316772460937
863.6146850585938,838.9400024414062,-519.5320434570311,851.5638427734375,273.4379272460937
847.1648559570312,840.5849609375,-500.00079345703125,847.6575927734375,289.0629577636719
838.9400024414062,835.6500244140625,-539.0633544921875,867.1888427734375,265.6254272460937
853.7448120117188,837.2949829101562,-511.71954345703125,820.3137817382812,292.9692077636719
845.5198974609375,842.2299194335938,-515.6257934570311,835.9387817382812,296.8754577636719
837.2949829101562,837.2949829101562,-515.6257934570311,835.9387817382812,296.8754577636719
840.5849609375,838.9400024414062,-496.0945129394531,847.6575927734375,328.1255187988281
829.070068359375,829.070068359375,-503.90704345703125,859.3763427734375,320.31298828125
827.4251098632812,855.3897705078125,-503.90704345703125,859.3763427734375,320.31298828125
809.330322265625,870.194580078125,-503.90704345703125,859.3763427734375,320.31298828125
792.8805541992188,878.4194946289062,-523.4382934570311,835.9387817382812,316.40673828125
812.6203002929688,868.5496215820312,-535.1571044921875,859.3763427734375,312.50048828125
825.7801513671875,837.2949829101562,-550.7821044921875,835.9387817382812,304.68798828125
847.1648559570312,847.1648559570312,-570.3134155273438,816.4075317382812,292.9692077636719
847.1648559570312,847.1648559570312,-554.6883544921875,820.3137817382812,292.9692077636719
832.3600463867188,845.5198974609375,-531.2508544921875,839.8450927734375,304.68798828125
847.1648559570312,845.5198974609375,-531.2508544921875,839.8450927734375,304.68798828125
870.194580078125,848.8098754882812,-511.71954345703125,851.5638427734375,316.40673828125
819.2001953125,858.6797485351562,-507.81329345703125,843.7513427734375,320.31298828125
817.5552368164062,845.5198974609375,-503.90704345703125,835.9387817382812,328.1255187988281
825.7801513671875,837.2949829101562,-519.5320434570311,843.7513427734375,296.8754577636719
931.0588989257812,858.6797485351562,-500.00079345703125,855.4700927734375,308.59423828125
878.4194946289062,845.5198974609375,-515.6257934570311,847.6575927734375,308.59423828125
773.1407470703125,830.715087890625,-511.71954345703125,847.6575927734375,312.50048828125
773.1407470703125,837.2949829101562,-503.90704345703125,843.7513427734375,300.7817077636719
773.1407470703125,837.2949829101562,-519.5320434570311,843.7513427734375,304.68798828125
825.7801513671875,843.8749389648438,-519.5320434570311,843.7513427734375,312.50048828125
773.1407470703125,830.715087890625,-515.6257934570311,851.5638427734375,308.59423828125
931.0588989257812,863.6146850585938,-515.6257934570311,851.5638427734375,308.59423828125
845.5198974609375,834.0050048828125,-527.3446044921875,839.8450927734375,292.9692077636719
792.8805541992188,764.9158325195312,-496.0945129394531,843.7513427734375,328.1255187988281
792.8805541992188,764.9158325195312,-484.3757629394531,839.8450927734375,339.8442687988281
792.8805541992188,764.9158325195312,-500.00079345703125,808.5950317382812,347.65679931640625
950.7986450195312,840.5849609375,-550.7821044921875,843.7513427734375,269.5316772460937
740.2411499023438,829.070068359375,-531.2508544921875,824.2200317382812,238.2816162109375
792.8805541992188,835.6500244140625,-531.2508544921875,824.2200317382812,238.2816162109375
845.5198974609375,852.0997924804688,-523.4382934570311,839.8450927734375,250.0003967285156
950.7986450195312,868.5496215820312,-539.0633544921875,832.0325317382812,257.81289672851557
950.7986450195312,868.5496215820312,-550.7821044921875,835.9387817382812,257.81289672851557
792.8805541992188,838.9400024414062,-550.7821044921875,835.9387817382812,257.81289672851557
792.8805541992188,842.2299194335938,-550.7821044921875,835.9387817382812,257.81289672851557
845.5198974609375,845.5198974609375,-539.0633544921875,847.6575927734375,269.5316772460937
824.1351318359375,850.454833984375,-519.5320434570311,875.0013427734375,285.1567077636719
840.5849609375,848.8098754882812,-531.2508544921875,843.7513427734375,285.1567077636719
853.7448120117188,847.1648559570312,-539.0633544921875,835.9387817382812,281.2504272460937
845.5198974609375,843.8749389648438,-519.5320434570311,851.5638427734375,277.3441772460937
838.9400024414062,848.8098754882812,-511.71954345703125,847.6575927734375,285.1567077636719
838.9400024414062,848.8098754882812,-507.81329345703125,843.7513427734375,292.9692077636719
850.454833984375,843.8749389648438,-519.5320434570311,847.6575927734375,296.8754577636719
840.5849609375,843.8749389648438,-519.5320434570311,847.6575927734375,296.8754577636719
840.5849609375,845.5198974609375,-546.8758544921875,832.0325317382812,300.7817077636719
838.9400024414062,845.5198974609375,-546.8758544921875,832.0325317382812,300.7817077636719
848.8098754882812,847.1648559570312,-531.2508544921875,843.7513427734375,292.9692077636719
850.454833984375,845.5198974609375,-511.71954345703125,847.6575927734375,300.7817077636719
843.8749389648438,848.8098754882812,-519.5320434570311,851.5638427734375,300.7817077636719
843.8749389648438,852.0997924804688,-527.3446044921875,847.6575927734375,300.7817077636719
845.5198974609375,842.2299194335938,-527.3446044921875,847.6575927734375,300.7817077636719
845.5198974609375,842.2299194335938,-527.3446044921875,832.0325317382812,296.8754577636719
850.454833984375,840.5849609375,-527.3446044921875,832.0325317382812,296.8754577636719
837.2949829101562,840.5849609375,-527.3446044921875,832.0325317382812,296.8754577636719
840.5849609375,845.5198974609375,-503.90704345703125,859.3763427734375,285.1567077636719
837.2949829101562,843.8749389648438,-503.90704345703125,859.3763427734375,285.1567077636719
829.070068359375,842.2299194335938,-523.4382934570311,843.7513427734375,292.9692077636719
829.070068359375,842.2299194335938,-531.2508544921875,839.8450927734375,289.0629577636719
840.5849609375,842.2299194335938,-531.2508544921875,839.8450927734375,289.0629577636719
843.8749389648438,848.8098754882812,-515.6257934570311,843.7513427734375,296.8754577636719
845.5198974609375,842.2299194335938,-519.5320434570311,843.7513427734375,292.9692077636719
850.454833984375,830.715087890625,-515.6257934570311,855.4700927734375,289.0629577636719
850.454833984375,830.715087890625,-523.4382934570311,847.6575927734375,292.9692077636719
840.5849609375,842.2299194335938,-523.4382934570311,847.6575927734375,292.9692077636719
842.2299194335938,843.8749389648438,-523.4382934570311,847.6575927734375,292.9692077636719
842.2299194335938,838.9400024414062,-519.5320434570311,863.2825927734375,285.1567077636719
838.9400024414062,843.8749389648438,-519.5320434570311,863.2825927734375,285.1567077636719
838.9400024414062,843.8749389648438,-515.6257934570311,855.4700927734375,289.0629577636719
843.8749389648438,843.8749389648438,-515.6257934570311,855.4700927734375,289.0629577636719
838.9400024414062,842.2299194335938,-523.4382934570311,843.7513427734375,289.0629577636719
838.9400024414062,842.2299194335938,-531.2508544921875,843.7513427734375,285.1567077636719
848.8098754882812,840.5849609375,-531.2508544921875,843.7513427734375,285.1567077636719
840.5849609375,842.2299194335938,-515.6257934570311,847.6575927734375,292.9692077636719
847.1648559570312,843.8749389648438,-527.3446044921875,835.9387817382812,289.0629577636719
840.5849609375,842.2299194335938,-527.3446044921875,835.9387817382812,289.0629577636719
842.2299194335938,843.8749389648438,-527.3446044921875,847.6575927734375,292.9692077636719
842.2299194335938,843.8749389648438,-527.3446044921875,839.8450927734375,296.8754577636719
838.9400024414062,843.8749389648438,-527.3446044921875,839.8450927734375,296.8754577636719
837.2949829101562,842.2299194335938,-527.3446044921875,839.8450927734375,296.8754577636719
840.5849609375,847.1648559570312,-511.71954345703125,851.5638427734375,292.9692077636719
845.5198974609375,845.5198974609375,-511.71954345703125,851.5638427734375,292.9692077636719
835.6500244140625,842.2299194335938,-523.4382934570311,847.6575927734375,296.8754577636719
848.8098754882812,853.7448120117188,-515.6257934570311,843.7513427734375,292.9692077636719
837.2949829101562,852.0997924804688,-515.6257934570311,843.7513427734375,292.9692077636719
837.2949829101562,852.0997924804688,-523.4382934570311,847.6575927734375,292.9692077636719
840.5849609375,850.454833984375,-523.4382934570311,847.6575927734375,292.9692077636719
835.6500244140625,843.8749389648438,-515.6257934570311,851.5638427734375,292.9692077636719
843.8749389648438,842.2299194335938,-519.5320434570311,843.7513427734375,292.9692077636719
835.6500244140625,845.5198974609375,-519.5320434570311,843.7513427734375,292.9692077636719
842.2299194335938,842.2299194335938,-523.4382934570311,847.6575927734375,304.68798828125
842.2299194335938,842.2299194335938,-523.4382934570311,851.5638427734375,300.7817077636719
838.9400024414062,847.1648559570312,-523.4382934570311,847.6575927734375,289.0629577636719
838.9400024414062,847.1648559570312,-519.5320434570311,843.7513427734375,292.9692077636719
843.8749389648438,845.5198974609375,-515.6257934570311,839.8450927734375,296.8754577636719
829.070068359375,843.8749389648438,-515.6257934570311,839.8450927734375,296.8754577636719
830.715087890625,845.5198974609375,-539.0633544921875,843.7513427734375,289.0629577636719
830.715087890625,845.5198974609375,-535.1571044921875,839.8450927734375,289.0629577636719
842.2299194335938,843.8749389648438,-527.3446044921875,839.8450927734375,292.9692077636719
